gt,Georgia Tech
giot,Georgia Institute of Technology
->,→
<-,←
<->,↔
checkmark,✓
math-times,×
math-div,÷
math-cdot,⋅
math-not,¬
math-subset,⊆
math-psubset,⊂
math-supset,⊇
math-psupset,⊃
math-union,∪
math-inter,∩
math-le,≤
math-ge,≥
math-ll,≪
math-gg,≫
math-ne,≠
math-approx,≈
math-sum,∑
math-prod,∏
math-inf,∞
math-alpha,α
math-beta,β
math-gamma,γ
math-delta,δ
math-epsilon,ε
math-mu,μ
math-pi,π
math-rho,ρ
math-sigma,σ
math-tau,τ
math-phi,φ
math-psi,ψ
math-omega,ω
math-Delta,Δ
math-Sigma,Σ
math-Pi,Π
math-Omega,Ω
math-Phi,Φ
math-Gamma,Γ
math-Lambda,Λ
math-Theta,Θ
